n_ants,n_iterations,alpha,beta,rho,c,gamma,elitist_forget_generations,mean_makespan,std_makespan,min_makespan,max_makespan
60,10,1,2,0.1,0.5,1,5,74.4,2.1999999999999997,72,79
60,10,1,2,0.1,0.5,1,10,74.4,2.1999999999999997,72,79
60,10,1,1,0.1,0.5,1,5,74.6,1.8547236990991407,72,78
60,10,1,1,0.1,0.5,1,10,74.6,1.8547236990991407,72,78
60,5,1,1,0.1,0.5,1,5,75.5,2.0124611797498106,72,79
60,5,1,1,0.1,0.5,1,10,75.5,2.0124611797498106,72,79
30,10,1,1,0.1,0.5,1,5,75.7,2.1931712199461306,72,79
30,10,1,1,0.1,0.5,1,10,75.7,2.1931712199461306,72,79
30,10,1,2,0.1,0.5,1,5,75.8,2.0880613017821097,72,79
30,10,1,2,0.1,0.5,1,10,75.8,2.0880613017821097,72,79
30,5,1,1,0.1,0.5,1,5,76.4,2.2449944320643644,72,79
30,5,1,1,0.1,0.5,1,10,76.4,2.2449944320643644,72,79
30,5,1,2,0.1,0.5,1,5,76.3,2.1931712199461306,73,79
30,5,1,2,0.1,0.5,1,10,76.3,2.1931712199461306,73,79
60,5,1,2,0.1,0.5,1,5,77.9,1.1357816691600546,76,79
60,5,1,2,0.1,0.5,1,10,77.9,1.1357816691600546,76,79
