n_ants,n_iterations,alpha,beta,rho,c,gamma,elitist_forget_generations,mean_makespan,std_makespan,min_makespan,max_makespan
60,5,1,1,0.1,0.5,1,5,134.2,2.6758176320519302,130,140
60,5,1,1,0.1,0.5,1,10,134.2,2.6758176320519302,130,140
60,10,1,2,0.1,0.5,1,5,134.9,2.5475478405713994,130,139
60,10,1,2,0.1,0.5,1,10,134.9,2.5475478405713994,130,139
60,10,1,1,0.1,0.5,1,5,134.5,2.247220505424423,131,138
60,10,1,1,0.1,0.5,1,10,134.5,2.247220505424423,131,138
30,5,1,1,0.1,0.5,1,5,135.5,2.5787593916455256,131,140
30,5,1,1,0.1,0.5,1,10,135.5,2.5787593916455256,131,140
30,10,1,1,0.1,0.5,1,5,134.9,1.5779733838059498,132,137
30,10,1,1,0.1,0.5,1,10,134.9,1.5779733838059498,132,137
30,10,1,2,0.1,0.5,1,5,137.1,2.3,133,140
30,10,1,2,0.1,0.5,1,10,137.1,2.3,133,140
60,5,1,2,0.1,0.5,1,5,137.6,2.3748684174075834,133,141
60,5,1,2,0.1,0.5,1,10,137.6,2.3748684174075834,133,141
30,5,1,2,0.1,0.5,1,5,139.0,1.7888543819998317,136,142
30,5,1,2,0.1,0.5,1,10,139.0,1.7888543819998317,136,142
